Veggie Burger,Vegetarian,8.99,5,1
Veggie Wrap,Vegetarian,7.49,20,2
Grilled Cheese Sandwich,Vegetarian,5.99,30,3
Vegetable Stir Fry,Vegetarian,9.49,18,4
Vegan Buddha Bowl,Vegan,10.99,15,5
Vegan Tacos,Vegan,8.49,20,6
Vegan Quinoa Salad,Vegan,9.29,12,7
Vegan Chili,Vegan,7.99,25,8
Gluten-Free Margherita Pizza,Gluten-Free,11.49,10,9
Grilled Chicken Salad,Gluten-Free,10.99,18,10
Gluten-Free Pancakes,Gluten-Free,6.99,15,11
Gluten-Free Pasta Primavera,Gluten-Free,12.49,14,12
Classic Cheeseburger,Specialty,9.99,20,13
BBQ Pulled Pork Sandwich,Specialty,9.49,15,14
Chicken Caesar Wrap,Specialty,8.9,25,15
Grilled Salmon Plate,Specialty,13.49,10,16
Cappuccino,Drinks,3.49,20,18
Fresh Fruit Smoothie,Drinks,9.99,25,19
Lemonade,Drinks,2.99,35,20
Zinger Burger,Burgers,25,30,21
Tikka Pizza,Pizzas,35,20,22
